Time, Date, Ch1, Ch2, NAE
3558038913,2016/9/30 0:8:33,15,53,0
3558039774,2016/9/30 0:22:54,14,1843,0
3558039880,2016/9/30 0:24:40,166,16,0
3558041568,2016/9/30 0:52:48,15,193,0
3558041707,2016/9/30 0:55:7,46,19,0
3558041851,2016/9/30 0:57:31,76,20,0
3558042138,2016/9/30 1:2:18,59,14,0
3558044345,2016/9/30 1:39:5,14,51,0
3558045125,2016/9/30 1:52:5,144,15,0
3558046352,2016/9/30 2:12:32,32,13,0
3558048629,2016/9/30 2:50:29,50,15,0
3558051175,2016/9/30 3:32:55,83,15,0
3558052030,2016/9/30 3:47:10,13,626,0
3558057019,2016/9/30 5:10:19,13,45,0
3558057858,2016/9/30 5:24:18,15,39,0
3558059226,2016/9/30 5:47:6,29,14,0
3558061030,2016/9/30 6:17:10,74,16,0
3558061628,2016/9/30 6:27:8,18,46,0
