Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,All,Average
0,0,0,93,6,1,14,2,116,23.2
1,0,0,86,11,8,11,2,118,23.6
2,0,0,78,7,4,7,3,99,19.8
3,0,0,63,5,3,7,2,80,16
4,0,0,52,6,2,6,4,70,14
5,0,0,49,7,1,7,1,65,13
6,0,0,44,6,1,9,2,62,12.4
7,0,0,33,8,4,6,5,56,11.2
8,0,0,22,1,4,7,6,40,8
9,0,0,13,3,8,7,13,44,8.8
10,0,0,14,6,5,8,15,48,9.6
11,0,0,13,21,2,14,8,58,11.6
12,0,0,9,10,1,7,8,35,7
13,0,0,15,12,3,8,8,46,9.2
14,0,0,8,3,0,4,11,26,6.5
15,0,0,7,2,1,3,3,16,3.2
16,0,0,9,4,12,7,0,32,8
17,0,0,12,3,74,6,2,97,19.4
18,0,0,4,6,11,3,2,26,5.2
19,0,0,14,6,22,1,1,44,8.8
20,0,180,7,6,13,1,1,208,34.66667
21,0,172,13,2,8,1,1,197,32.83333
22,0,149,9,6,15,1,1,181,30.16667
23,0,116,8,1,10,2,1,138,23
All,0,617,675,148,213,147,102
Average,0,154.25,28.125,6.166667,9.26087,6.125,4.434783
