Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,70.87091,72.41667,72.35273,73.02273,67.70083,,,356.3639,71.27277
1,70.8875,72.09818,72.295,72.95333,67.99333,,,356.2273,71.24547
2,70.95417,71.9625,72.32083,72.91333,68.21333,,,356.3642,71.27283
3,70.94417,71.9825,72.24833,72.87083,,,,288.0458,72.01146
4,70.7525,71.995,72.09167,72.7925,,,,287.6317,71.90792
5,70.98083,72.005,72.14273,72.64909,,,,287.7777,71.94441
6,71.05364,72.02,72.245,72.32417,,,,287.6428,71.9107
7,71.065,71.88182,72.17583,70.97667,,,,286.0993,71.52483
8,71.275,71.59583,71.32727,68.21833,,,,282.4164,70.60411
9,71.205,71.2575,70.4825,1326.595,,,,1539.54,384.885
10,71.03333,71.19583,69.28833,1325.15,,,,1536.667,384.1669
11,70.61917,70.87083,68.15417,63.68909,,,,273.3333,68.33331
12,69.97583,70.92833,68.435,61.08167,,,,270.4208,67.60521
13,70.15,70.91545,69.04167,60.52833,,,,270.6355,67.65886
14,70.49417,71.01167,69.71182,61.61333,,,,272.831,68.20775
15,70.45083,71.35,70.545,63.2025,,,,275.5483,68.88708
16,70.47083,71.40167,71.00333,64.26571,,,,277.1415,69.28539
17,70.82167,71.4175,71.61417,64.895,,,,278.7483,69.68708
18,71.01083,71.4875,72.05333,1326.107,,,,1540.658,385.1646
19,71.09909,71.79818,72.21,65.11333,,,,280.2206,70.05515
20,71.5725,72.09167,72.46167,65.518,,,,281.6438,70.41096
21,71.93833,72.2025,72.47333,65.92083,,,,282.535,70.63375
22,72.18917,72.245,72.485,66.37727,,,,283.2964,70.82411
23,72.53167,72.3625,72.74917,67.13583,,,,284.7792,71.19479
All,1704.346,1720.494,1711.908,5395.914,203.9075,0,0
Average,71.01442,71.68723,71.32949,224.8297,67.96917,0,0
