Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,40999.98,40999.98,40999.98,708.9845,746.1742,739.9691,,125195.1,20865.84
1,40999.98,40999.98,40999.98,692.9517,726.8075,722.9817,,125142.7,20857.11
2,40999.98,40999.98,40999.98,693.2783,727.6217,724.2025,,125145,20857.51
3,40999.98,40999.98,40999.98,692.6267,727.1317,723.6325,,125143.3,20857.22
4,40999.98,40999.98,40999.98,693.0333,726.7427,724.4475,,125144.2,20857.36
5,40999.98,40999.98,40999.98,716.0882,733.8875,726.83,,125176.7,20862.79
6,40999.98,40999.98,40999.98,864.3392,813.8808,763.265,,125441.4,20906.9
7,40999.98,40999.98,17609.53,1273.357,843.3425,1026.691,,102752.9,17125.48
8,40999.98,40999.98,978.0709,1609.782,932.7792,1268.717,,86789.31,14464.88
9,40999.98,40999.98,1162.598,5413.977,1056.905,1042.886,,90676.33,15112.72
10,40999.98,40999.98,1222.087,4770.343,1076.091,1257.162,,90325.64,15054.27
11,40999.98,40999.98,1164.632,2693.359,970.54,1130.149,,87958.64,14659.77
12,40999.98,40999.98,1059.407,2490.477,1054.2,1054.605,,87658.65,14609.77
13,40999.98,40999.98,928.4667,1487.956,1302.571,1077.474,,86796.43,14466.07
14,40999.98,40999.98,884.1445,911.865,1147.281,1019.042,,85962.29,14327.05
15,40999.98,40999.98,857.91,886.9625,1026.937,968.1783,,85739.95,14289.99
16,40999.98,40999.98,782.5525,849.19,815.5108,818.5373,,85265.75,14210.96
17,40999.98,40999.98,705.2408,778.97,736.1642,775.39,,84995.72,14165.95
18,40999.98,40999.98,636.3958,4126.136,665.61,771.3192,,88199.42,14699.9
19,40999.98,40999.98,0.98,49.8825,0.98,48.34,,82100.14,13683.36
20,40999.98,40999.98,0.98,49.606,0.98,48.65182,,82100.18,13683.36
21,40999.98,40999.98,0.98,0.98,0.98,,,82002.9,16400.58
22,40999.98,40999.98,0.98,0.98,0.98,,,82002.9,16400.58
23,40999.98,40999.98,66.32833,0.98,69.33917,,,82136.61,16427.32
All,983999.5,983999.5,315061.1,32456.1,16903.44,17432.47,0
Average,40999.98,40999.98,13127.55,1352.338,704.3099,830.1176,0
