Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,1009.715,1005.953,1009.372,1010.049,1019.85,1013.145,1013.808,7081.893,1011.699
1,1009.207,1005.733,1008.801,1011.605,1019.037,1012.898,1013.548,7080.829,1011.547
2,1009.273,1005.351,1009.627,1011.707,1019.314,1012.592,1013.66,7081.525,1011.646
3,1009.095,1006.107,1008.873,1012.374,1019.068,1013.029,1014.585,7083.131,1011.876
4,1008.756,1006.393,1009.348,1013.822,1019.48,1012.458,1014.958,7085.217,1012.174
5,1008.923,1006.597,1008.786,1014.576,1019.527,1012.743,1015.216,7086.368,1012.338
6,1008.982,1007.892,1009.886,1015.853,1019.259,1013.013,1016.112,7090.997,1013
7,1008.468,1007.533,1009.753,1016.517,1019.002,1013.127,1016.271,7090.669,1012.953
8,1008.177,1007.578,1010.343,1017.069,1019.066,1012.223,1016.325,7090.782,1012.969
9,1007.99,1007.837,1009.713,958.7517,1018.783,1012.882,1016.898,7032.854,1004.693
10,1007.168,1007.842,1009.385,959.195,1017.979,1012.942,1016.283,7030.794,1004.399
11,1006.242,1007.813,1009.312,1017.453,1017.692,1012.427,1016.66,7087.598,1012.514
12,1005.278,1007.076,1008.662,1016.871,1016.942,1012.435,1016.161,7083.425,1011.918
13,1004.448,1007.285,1008.142,1016.93,1015.738,1012.377,1015.736,7080.657,1011.522
14,1004.148,1008.045,1007.789,1017.108,1015.472,1012.113,1015.82,7080.493,1011.499
15,1003.593,1007.847,1007.493,1017.796,1014.998,1012.055,1015.931,7079.712,1011.387
16,1003.804,1008.347,1007.206,1017.921,1015.485,1012.704,1015.632,7081.099,1011.586
17,1004.038,1008.104,1005.98,1018.07,1014.997,1012.531,1015.564,7079.283,1011.326
18,1004.546,1008.315,1007.258,959.6717,1014.967,1012.957,1014.247,7021.962,1003.137
19,1005.174,1009.502,1008.511,1019.406,1015.095,1013.852,1016.365,7087.904,1012.558
20,1005.594,1009.788,1009.123,1020.356,1014.901,1014.175,1016.863,7090.8,1012.971
21,1006.36,1009.951,1008.803,1019.907,1014.955,1014.288,1016.635,7090.899,1012.986
22,1006.536,1009.79,1009.845,1020.084,1014.198,1014.315,1016.251,7091.018,1013.003
23,1005.998,1009.702,1009.532,1019.889,1013.494,1013.586,1016.498,7088.7,1012.671
All,24161.51,24186.38,24211.55,24222.98,24409.3,24310.87,24376.03
Average,1006.73,1007.766,1008.814,1009.291,1017.054,1012.953,1015.668
