Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,28.88909,27.93583,,,,,,56.82492,28.41246
1,28.90167,27.99636,,,,,,56.89803,28.44902
2,28.77667,27.925,,,,,,56.70167,28.35083
3,28.7175,27.87667,,,,,,56.59417,28.29708
4,28.74917,27.85917,,,,,,56.60833,28.30417
5,28.555,27.85667,,,,,,56.41167,28.20583
6,28.55,27.88917,,,,,,56.43917,28.21958
7,28.57833,28.00364,,,,,,56.58197,28.29098
8,28.57833,28.14417,,,,,,56.7225,28.36125
9,28.73667,,,,,,,28.73667,28.73667
10,28.92833,,,,,,,28.92833,28.92833
11,29.27583,,,,,,,29.27583,29.27583
12,29.6325,,,,,,,29.6325,29.6325
13,29.38455,,,,,,,29.38455,29.38455
14,29.19833,,,,,,,29.19833,29.19833
15,29.25917,,,,,,,29.25917,29.25917
16,29.04167,,,,,,,29.04167,29.04167
17,28.6525,,,,,,,28.6525,28.6525
18,28.45,,,,,,,28.45,28.45
19,28.26273,,,,,,,28.26273,28.26273
20,28.0625,,,,,,,28.0625,28.0625
21,27.995,,,,,,,27.995,27.995
22,27.93917,,,,,,,27.93917,27.93917
23,27.8625,,,,,,,27.8625,27.8625
All,688.9772,251.4867,0,0,0,0,0
Average,28.70738,27.94296,0,0,0,0,0
