Time [hr], Date, 飽差 [g/m3]
0,2016/10/1 0:00:00,9.444577
1,2016/10/1 1:00:00,9.443606
2,2016/10/1 2:00:00,9.416917
3,2016/10/1 3:00:00,9.414077
4,2016/10/1 4:00:00,9.381078
5,2016/10/1 5:00:00,9.302795
6,2016/10/1 6:00:00,9.214803
7,2016/10/1 7:00:00,9.211438
8,2016/10/1 8:00:00,9.626126
9,2016/10/1 9:00:00,10.21891
10,2016/10/1 10:00:00,10.70003
11,2016/10/1 11:00:00,10.50563
12,2016/10/1 12:00:00,10.20132
13,2016/10/1 13:00:00,10.00722
14,2016/10/1 14:00:00,10.39059
15,2016/10/1 15:00:00,10.29542
16,2016/10/1 16:00:00,9.598583
17,2016/10/1 17:00:00,9.257253
18,2016/10/1 18:00:00,9.086086
19,2016/10/1 19:00:00,8.959466
20,2016/10/1 20:00:00,8.942228
21,2016/10/1 21:00:00,8.914627
22,2016/10/1 22:00:00,8.902818
23,2016/10/1 23:00:00,8.825664
24,2016/10/2 0:00:00,8.740278
25,2016/10/2 1:00:00,8.650548
26,2016/10/2 2:00:00,8.554778
27,2016/10/2 3:00:00,8.521708
28,2016/10/2 4:00:00,8.37856
29,2016/10/2 5:00:00,8.362041
30,2016/10/2 6:00:00,8.527828
31,2016/10/2 7:00:00,9.033131
32,2016/10/2 8:00:00,10.17161
33,2016/10/2 9:00:00,13.07896
34,2016/10/2 10:00:00,19.06614
35,2016/10/2 11:00:00,24.24
36,2016/10/2 12:00:00,24.93116
37,2016/10/2 13:00:00,20.82154
38,2016/10/2 14:00:00,18.67371
39,2016/10/2 15:00:00,15.44033
40,2016/10/2 16:00:00,13.91106
41,2016/10/2 17:00:00,12.78584
42,2016/10/2 18:00:00,11.93781
43,2016/10/2 19:00:00,11.52592
44,2016/10/2 20:00:00,11.07144
45,2016/10/2 21:00:00,10.46572
46,2016/10/2 22:00:00,10.08012
47,2016/10/2 23:00:00,9.963062
48,2016/10/3 0:00:00,9.663361
49,2016/10/3 1:00:00,9.40179
50,2016/10/3 2:00:00,9.311192
51,2016/10/3 3:00:00,9.199645
52,2016/10/3 4:00:00,9.151029
53,2016/10/3 5:00:00,9.094927
54,2016/10/3 6:00:00,9.032049
55,2016/10/3 7:00:00,9.409242
56,2016/10/3 8:00:00,9.252139
57,2016/10/3 9:00:00,8.932545
58,2016/10/3 10:00:00,8.645801
59,2016/10/3 11:00:00,8.613609
60,2016/10/3 12:00:00,9.064132
61,2016/10/3 13:00:00,9.238238
62,2016/10/3 14:00:00,9.091874
63,2016/10/3 15:00:00,8.996222
64,2016/10/3 16:00:00,8.41515
65,2016/10/3 17:00:00,7.733355
66,2016/10/3 18:00:00,7.316433
67,2016/10/3 19:00:00,7.162699
68,2016/10/3 20:00:00,7.363519
69,2016/10/3 21:00:00,7.213059
70,2016/10/3 22:00:00,6.941881
71,2016/10/3 23:00:00,0
