Time [hr], Date, 照度 [Lx]
0,2016/10/1 0:00:00,649.4125
1,2016/10/1 1:00:00,646.1583
2,2016/10/1 2:00:00,644.53
3,2016/10/1 3:00:00,642.5773
4,2016/10/1 4:00:00,642.2533
5,2016/10/1 5:00:00,648.275
6,2016/10/1 6:00:00,720.7025
7,2016/10/1 7:00:00,857.5017
8,2016/10/1 8:00:00,1103.757
9,2016/10/1 9:00:00,1871.36
10,2016/10/1 10:00:00,2436.928
11,2016/10/1 11:00:00,2701.74
12,2016/10/1 12:00:00,2415.363
13,2016/10/1 13:00:00,2102.945
14,2016/10/1 14:00:00,1601.479
15,2016/10/1 15:00:00,928.2233
16,2016/10/1 16:00:00,807.29
17,2016/10/1 17:00:00,713.705
18,2016/10/1 18:00:00,707.1933
19,2016/10/1 19:00:00,706.8518
20,2016/10/1 20:00:00,706.5408
21,2016/10/1 21:00:00,705.6458
22,2016/10/1 22:00:00,705.16
23,2016/10/1 23:00:00,703.855
24,2016/10/2 0:00:00,702.1483
25,2016/10/2 1:00:00,700.7245
26,2016/10/2 2:00:00,699.9483
27,2016/10/2 3:00:00,699.6242
28,2016/10/2 4:00:00,699.5417
29,2016/10/2 5:00:00,700.845
30,2016/10/2 6:00:00,713.69
31,2016/10/2 7:00:00,788.5742
32,2016/10/2 8:00:00,847.6558
33,2016/10/2 9:00:00,839.5992
34,2016/10/2 10:00:00,874.8383
35,2016/10/2 11:00:00,879.3117
36,2016/10/2 12:00:00,892.4
37,2016/10/2 13:00:00,782.9575
38,2016/10/2 14:00:00,792.0758
39,2016/10/2 15:00:00,775.8783
40,2016/10/2 16:00:00,716.1458
41,2016/10/2 17:00:00,700.6373
42,2016/10/2 18:00:00,698.405
43,2016/10/2 19:00:00,0.98
44,2016/10/2 20:00:00,0.98
45,2016/10/2 21:00:00,0.98
46,2016/10/2 22:00:00,0.98
47,2016/10/2 23:00:00,0.98
48,2016/10/3 0:00:00,0
49,2016/10/3 1:00:00,0
50,2016/10/3 2:00:00,0
51,2016/10/3 3:00:00,0
52,2016/10/3 4:00:00,0
53,2016/10/3 5:00:00,0
54,2016/10/3 6:00:00,0
55,2016/10/3 7:00:00,0
56,2016/10/3 8:00:00,0
57,2016/10/3 9:00:00,0
58,2016/10/3 10:00:00,0
59,2016/10/3 11:00:00,0
60,2016/10/3 12:00:00,0
61,2016/10/3 13:00:00,0
62,2016/10/3 14:00:00,0
63,2016/10/3 15:00:00,0
64,2016/10/3 16:00:00,0
65,2016/10/3 17:00:00,0
66,2016/10/3 18:00:00,0
67,2016/10/3 19:00:00,0
68,2016/10/3 20:00:00,0
69,2016/10/3 21:00:00,0
70,2016/10/3 22:00:00,0
71,2016/10/3 23:00:00,0
