Time [hr], Date, 気圧 [hPa]
0,2016/10/1 0:00:00,1016.438
1,2016/10/1 1:00:00,1016.176
2,2016/10/1 2:00:00,1016.101
3,2016/10/1 3:00:00,1016.279
4,2016/10/1 4:00:00,1015.823
5,2016/10/1 5:00:00,1016.072
6,2016/10/1 6:00:00,1017.253
7,2016/10/1 7:00:00,1017.089
8,2016/10/1 8:00:00,1017.348
9,2016/10/1 9:00:00,1016.954
10,2016/10/1 10:00:00,1015.804
11,2016/10/1 11:00:00,1015.04
12,2016/10/1 12:00:00,1014.257
13,2016/10/1 13:00:00,1014.492
14,2016/10/1 14:00:00,1014.403
15,2016/10/1 15:00:00,1014.15
16,2016/10/1 16:00:00,1014.418
17,2016/10/1 17:00:00,1015.186
18,2016/10/1 18:00:00,1015.838
19,2016/10/1 19:00:00,1016.295
20,2016/10/1 20:00:00,1016.423
21,2016/10/1 21:00:00,1016.318
22,2016/10/1 22:00:00,1015.941
23,2016/10/1 23:00:00,1015.683
24,2016/10/2 0:00:00,1014.68
25,2016/10/2 1:00:00,1014.902
26,2016/10/2 2:00:00,1014.015
27,2016/10/2 3:00:00,1013.641
28,2016/10/2 4:00:00,1013.812
29,2016/10/2 5:00:00,1013.557
30,2016/10/2 6:00:00,1014.427
31,2016/10/2 7:00:00,1013.881
32,2016/10/2 8:00:00,1013.937
33,2016/10/2 9:00:00,1013.217
34,2016/10/2 10:00:00,1012.443
35,2016/10/2 11:00:00,1011.798
36,2016/10/2 12:00:00,1010.741
37,2016/10/2 13:00:00,1010.342
38,2016/10/2 14:00:00,1010.198
39,2016/10/2 15:00:00,1009.12
40,2016/10/2 16:00:00,1009.363
41,2016/10/2 17:00:00,1008.501
42,2016/10/2 18:00:00,1008.695
43,2016/10/2 19:00:00,1009.442
44,2016/10/2 20:00:00,1008.991
45,2016/10/2 21:00:00,1007.742
46,2016/10/2 22:00:00,1007.187
47,2016/10/2 23:00:00,1007.05
48,2016/10/3 0:00:00,1007.13
49,2016/10/3 1:00:00,1007.385
50,2016/10/3 2:00:00,1007.492
51,2016/10/3 3:00:00,1007.226
52,2016/10/3 4:00:00,1007.676
53,2016/10/3 5:00:00,1008.335
54,2016/10/3 6:00:00,1009.095
55,2016/10/3 7:00:00,1009.292
56,2016/10/3 8:00:00,1009.923
57,2016/10/3 9:00:00,1009.475
58,2016/10/3 10:00:00,1008.796
59,2016/10/3 11:00:00,1008.826
60,2016/10/3 12:00:00,1008.703
61,2016/10/3 13:00:00,1008.994
62,2016/10/3 14:00:00,1009.196
63,2016/10/3 15:00:00,1009.547
64,2016/10/3 16:00:00,1009.954
65,2016/10/3 17:00:00,1011.384
66,2016/10/3 18:00:00,1012.723
67,2016/10/3 19:00:00,1013.376
68,2016/10/3 20:00:00,1014.514
69,2016/10/3 21:00:00,1015.513
70,2016/10/3 22:00:00,1015.888
71,2016/10/3 23:00:00,1016.19
72,2016/10/4 0:00:00,0
73,2016/10/4 1:00:00,0
74,2016/10/4 2:00:00,0
75,2016/10/4 3:00:00,0
76,2016/10/4 4:00:00,0
77,2016/10/4 5:00:00,0
78,2016/10/4 6:00:00,0
79,2016/10/4 7:00:00,0
80,2016/10/4 8:00:00,0
81,2016/10/4 9:00:00,0
82,2016/10/4 10:00:00,0
83,2016/10/4 11:00:00,0
84,2016/10/4 12:00:00,0
85,2016/10/4 13:00:00,0
86,2016/10/4 14:00:00,0
87,2016/10/4 15:00:00,0
88,2016/10/4 16:00:00,0
89,2016/10/4 17:00:00,0
90,2016/10/4 18:00:00,0
91,2016/10/4 19:00:00,0
92,2016/10/4 20:00:00,0
93,2016/10/4 21:00:00,0
94,2016/10/4 22:00:00,0
95,2016/10/4 23:00:00,0
