Time [hr], Date, 温度 [℃]
0,2016/10/1 0:00:00,26.53333
1,2016/10/1 1:00:00,26.46
2,2016/10/1 2:00:00,26.385
3,2016/10/1 3:00:00,26.37909
4,2016/10/1 4:00:00,26.24
5,2016/10/1 5:00:00,26.25583
6,2016/10/1 6:00:00,26.50417
7,2016/10/1 7:00:00,27.11083
8,2016/10/1 8:00:00,28.41667
9,2016/10/1 9:00:00,31.43909
10,2016/10/1 10:00:00,35.81083
11,2016/10/1 11:00:00,38.64167
12,2016/10/1 12:00:00,38.6975
13,2016/10/1 13:00:00,36.39833
14,2016/10/1 14:00:00,34.98417
15,2016/10/1 15:00:00,32.5275
16,2016/10/1 16:00:00,31.36833
17,2016/10/1 17:00:00,30.34083
18,2016/10/1 18:00:00,29.69167
19,2016/10/1 19:00:00,29.37909
20,2016/10/1 20:00:00,29.04
21,2016/10/1 21:00:00,28.69583
22,2016/10/1 22:00:00,28.45417
23,2016/10/1 23:00:00,28.35667
24,2016/10/2 0:00:00,28.14333
25,2016/10/2 1:00:00,27.98364
26,2016/10/2 2:00:00,27.9525
27,2016/10/2 3:00:00,27.9025
28,2016/10/2 4:00:00,27.9275
29,2016/10/2 5:00:00,27.94417
30,2016/10/2 6:00:00,27.95636
31,2016/10/2 7:00:00,27.645
32,2016/10/2 8:00:00,26.72167
33,2016/10/2 9:00:00,26.575
34,2016/10/2 10:00:00,26.50833
35,2016/10/2 11:00:00,26.67167
36,2016/10/2 12:00:00,27.57636
37,2016/10/2 13:00:00,27.8275
38,2016/10/2 14:00:00,27.79333
39,2016/10/2 15:00:00,27.81
40,2016/10/2 16:00:00,27.4875
41,2016/10/2 17:00:00,26.77545
42,2016/10/2 18:00:00,26.41583
43,2016/10/2 19:00:00,26.34583
44,2016/10/2 20:00:00,26.495
45,2016/10/2 21:00:00,26.31083
46,2016/10/2 22:00:00,26.08667
47,2016/10/2 23:00:00,26.12727
48,2016/10/3 0:00:00,0
49,2016/10/3 1:00:00,0
50,2016/10/3 2:00:00,0
51,2016/10/3 3:00:00,0
52,2016/10/3 4:00:00,0
53,2016/10/3 5:00:00,0
54,2016/10/3 6:00:00,0
55,2016/10/3 7:00:00,0
56,2016/10/3 8:00:00,0
57,2016/10/3 9:00:00,0
58,2016/10/3 10:00:00,0
59,2016/10/3 11:00:00,0
60,2016/10/3 12:00:00,0
61,2016/10/3 13:00:00,0
62,2016/10/3 14:00:00,0
63,2016/10/3 15:00:00,0
64,2016/10/3 16:00:00,0
65,2016/10/3 17:00:00,0
66,2016/10/3 18:00:00,0
67,2016/10/3 19:00:00,0
68,2016/10/3 20:00:00,0
69,2016/10/3 21:00:00,0
70,2016/10/3 22:00:00,0
71,2016/10/3 23:00:00,0
