Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,29285.7,0,0,0
1,0,0,0,0,0,0,0,0,29384.69,0,0,0
2,0,0,0,0,0,0,0,0,29384.74,0,0,0
3,0,0,0,0,0,0,0,0,29384.65,0,0,0
4,0,0,0,0,0,0,0,0,29384.7,0,0,0
5,0,0,0,0,0,0,0,0,29388,0,0,0
6,0,0,0,0,0,0,0,0,29409.18,0,0,0
7,0,0,0,0,0,0,0,0,26126.12,0,0,0
8,0,0,0,0,0,0,0,0,23798.25,0,0,0
9,0,0,0,0,0,0,0,0,24368.07,0,0,0
10,0,0,0,0,0,0,0,0,21249.04,0,0,0
11,0,0,0,0,0,0,0,0,20982.24,0,0,0
12,0,0,0,0,0,0,0,0,20943.73,0,0,0
13,0,0,0,0,0,0,0,0,25927.04,0,0,0
14,0,0,0,0,0,0,0,0,25849.49,0,0,0
15,0,0,0,0,0,0,0,0,25843.1,0,0,0
16,0,0,0,0,0,0,0,0,25828.96,0,0,0
17,0,0,0,0,0,0,0,0,25810.51,0,0,0
18,0,0,0,0,0,0,0,0,26220.3,0,0,0
19,0,0,0,0,0,0,0,0,25631.35,0,0,0
20,0,0,0,0,0,0,0,0,25631.33,0,0,0
21,0,0,0,0,0,0,0,0,25625.11,0,0,0
22,0,0,0,0,0,0,0,0,29285.84,0,0,0
23,0,0,0,0,0,0,0,0,29295.18,0,0,0
