Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,All,Average
0,0,0,10,0,1,27,,38,12.66667
1,0,0,15,2,1,27,,45,11.25
2,0,0,12,0,2,25,,39,13
3,0,0,5,1,1,22,,29,7.25
4,0,0,7,1,1,24,,33,8.25
5,0,0,7,2,0,28,,37,12.33333
6,0,0,3,2,1,19,,25,6.25
7,0,0,3,1,1,27,,32,8
8,0,0,2,2,2,12,,18,4.5
9,0,0,0,0,2,29,,31,15.5
10,0,0,7,0,1,23,,31,10.33333
11,0,4,1,0,2,14,,21,5.25
12,0,0,2,0,1,18,,21,7
13,0,0,1,8,0,28,,37,12.33333
14,0,0,1,1,0,15,,17,5.666667
15,0,0,1,0,0,13,,14,7
16,0,2,1,0,100,78,,181,45.25
17,0,0,0,0,167,52,,219,109.5
18,0,4,1,0,32,,,37,12.33333
19,0,33,1,0,34,,,68,22.66667
20,0,32,0,1,34,,,67,22.33333
21,0,24,1,0,30,,,55,18.33333
22,0,18,0,0,24,,,42,21
23,0,21,0,1,27,,,49,16.33333
All,0,138,81,22,464,481,0
Average,0,17.25,4.263158,2,23.2,26.72222,0
