Time [hr], Date, NAE
0,2016/10/1 0:00:00,62
1,2016/10/1 1:00:00,78
2,2016/10/1 2:00:00,73
3,2016/10/1 3:00:00,65
4,2016/10/1 4:00:00,70
5,2016/10/1 5:00:00,70
6,2016/10/1 6:00:00,74
7,2016/10/1 7:00:00,73
8,2016/10/1 8:00:00,80
9,2016/10/1 9:00:00,66
10,2016/10/1 10:00:00,88
11,2016/10/1 11:00:00,71
12,2016/10/1 12:00:00,65
13,2016/10/1 13:00:00,38
14,2016/10/1 14:00:00,70
15,2016/10/1 15:00:00,59
16,2016/10/1 16:00:00,72
17,2016/10/1 17:00:00,78
18,2016/10/1 18:00:00,66
19,2016/10/1 19:00:00,64
20,2016/10/1 20:00:00,58
21,2016/10/1 21:00:00,55
22,2016/10/1 22:00:00,41
23,2016/10/1 23:00:00,48
24,2016/10/2 0:00:00,50
25,2016/10/2 1:00:00,45
26,2016/10/2 2:00:00,53
27,2016/10/2 3:00:00,0
28,2016/10/2 4:00:00,0
29,2016/10/2 5:00:00,0
30,2016/10/2 6:00:00,0
31,2016/10/2 7:00:00,0
32,2016/10/2 8:00:00,0
33,2016/10/2 9:00:00,0
34,2016/10/2 10:00:00,0
35,2016/10/2 11:00:00,0
36,2016/10/2 12:00:00,0
37,2016/10/2 13:00:00,0
38,2016/10/2 14:00:00,0
39,2016/10/2 15:00:00,0
40,2016/10/2 16:00:00,0
41,2016/10/2 17:00:00,0
42,2016/10/2 18:00:00,0
43,2016/10/2 19:00:00,0
44,2016/10/2 20:00:00,0
45,2016/10/2 21:00:00,0
46,2016/10/2 22:00:00,0
47,2016/10/2 23:00:00,0
