Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,2,0,2,2
2,0,0,0,0,0,3,0,3,3
3,0,0,0,0,0,1,0,1,1
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,3,0,3,3
6,0,0,0,0,0,19,0,19,19
7,0,0,0,0,0,23,0,23,23
8,0,0,0,0,0,30,0,30,30
9,0,0,0,0,0,24,0,24,24
10,0,0,0,0,0,21,0,21,21
11,0,0,0,0,0,11,0,11,11
12,0,0,0,0,0,11,0,11,11
13,0,0,0,0,0,11,0,11,11
14,0,0,0,0,0,1,0,1,1
15,0,0,0,0,379,0,0,379,379
16,0,0,0,0,0,1,0,1,1
17,0,0,0,0,0,3,0,3,3
18,0,0,0,0,1,3,0,4,2
19,0,0,0,0,0,2,0,2,2
20,0,0,0,0,3,0,0,3,3
21,0,0,0,0,1,0,0,1,1
22,0,0,0,0,1,0,0,1,1
23,0,0,0,0,0,0,0,0
All,0,0,0,0,385,170,0
Average,0,0,0,0,77,9.444444,0
