Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,Average
0,0,0,0,0,0,26.92154,26.695,26.80827
1,0,0,0,0,0,26.8925,26.55846,26.72548
2,0,0,0,0,0,26.88385,26.50231,26.69308
3,0,0,0,0,0,26.93385,26.50462,26.71923
4,0,0,0,0,0,26.97083,26.54,26.75542
5,0,0,0,0,0,26.92615,26.59462,26.76038
6,0,0,0,0,0,26.91077,26.55846,26.73462
7,0,0,0,0,0,26.975,26.61917,26.79708
8,0,0,0,0,0,27.79846,26.83231,27.31538
9,0,0,0,0,0,29.76769,27.73538,28.75154
10,0,0,0,0,0,30.28769,29.22769,29.75769
11,0,0,0,0,0,33.53385,31.27462,32.40423
12,0,0,0,0,0,31.34833,31.47385,31.41109
13,0,0,0,0,0,32.27308,33.10538,32.68923
14,0,0,0,0,30.995,33.44385,35.56538,33.33474
15,0,0,0,0,31.64182,30.02308,35.44231,32.36907
16,0,0,0,0,32.57769,27.86846,33.65,31.36538
17,0,0,0,0,31.565,27.79,31.82077,30.39192
18,0,0,0,0,30.87,27.855,30.725,29.81667
19,0,0,0,0,30.03308,27.70154,30.12692,29.28718
20,0,0,0,0,28.02077,27.15923,28.87769,28.01923
21,0,0,0,0,27.12417,26.86583,28.16923,27.38641
22,0,0,0,0,26.95538,26.91462,27.89,27.25333
23,0,0,0,0,27.01923,26.80923,27.63538,27.15462
All,0,0,0,0,296.8021,682.8544,702.1246
Average,0,0,0,0,29.68021,28.45227,29.25519
