Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,Average
0,91.53,91.01,90.63083,,,,,91.05694
1,91.86231,91.75333,91.29857,,,,,91.63807
2,92.1775,92.34154,91.7,,,,,92.07301
3,92.64308,92.73,92.07667,,,,,92.48325
4,92.82923,93.09417,92.21692,,,,,92.71344
5,93.10692,93.40615,92.39,,,,,92.96769
6,93.54417,93.64333,92.69167,,,,,93.29306
7,93.90923,0,92.96385,,,,,93.43654
8,93.84846,0,92.78154,,,,,93.315
9,93.06833,0,86.58923,,,,,89.82878
10,92.96077,83.43,80.50462,,,,,85.63179
11,92.83667,82.49462,81.12,,,,,85.48376
12,90.00077,81.562,80.20923,,,,,83.924
13,83.27846,84.89917,80.98846,,,,,83.05536
14,78.91,86.73,82.7575,,,,,82.79917
15,77.92231,87.00385,0,,,,,82.46308
16,78.93917,84.04077,0,,,,,81.48997
17,80.47615,80.87308,0,,,,,80.67462
18,79.98385,80.67769,0,,,,,80.33077
19,81.01615,81.72231,0,,,,,81.36923
20,84.51615,84.96833,0,,,,,84.74224
21,87.15583,87.18692,0,,,,,87.17138
22,88.81769,88.76615,0,,,,,88.79192
23,90.03538,89.82,0,,,,,89.92769
All,2115.369,1832.153,1320.919,0,0,0,0
Average,88.14036,87.2454,88.06127,0,0,0,0
