Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,Average
0,0.98,0.98,,,,,,0.98
1,0.98,0.98,,,,,,0.98
2,0.98,0.98,,,,,,0.98
3,0.98,0.98,,,,,,0.98
4,0.98,0.98,,,,,,0.98
5,0.98,0.98,,,,,,0.98
6,1.060833,0.98,,,,,,1.020417
7,25.46615,0,,,,,,25.46615
8,104.4169,0,,,,,,104.4169
9,150.7967,0,,,,,,150.7967
10,174.4292,676.953,,,,,,425.6911
11,480.3067,1262.244,,,,,,871.2753
12,1007.36,497.8507,,,,,,752.6053
13,1445.386,347.005,,,,,,896.1956
14,1468.074,566.2562,,,,,,1017.165
15,1073.543,768.1031,,,,,,920.8231
16,572.7533,1313.702,,,,,,943.2274
17,579.2515,852.1631,,,,,,715.7073
18,450.57,0,,,,,,450.57
19,160.0054,0,,,,,,160.0054
20,1.354615,0,,,,,,1.354615
21,0.98,0,,,,,,0.98
22,0.98,0,,,,,,0.98
23,1.054615,0,,,,,,1.054615
All,7703.669,6291.136,0,0,0,0,0
Average,320.9862,419.4091,0,0,0,0,0
