Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,0,0,1.054615,,,,,1.054615,1.054615
1,0,0,0.98,,,,,0.98,0.98
2,0,0,0.98,,,,,0.98,0.98
3,0,0,0.98,,,,,0.98,0.98
4,0,0,0.98,,,,,0.98,0.98
5,0,0,0.98,,,,,0.98,0.98
6,0,0,25.76692,,,,,25.76692,25.76692
7,0,0,151.6692,,,,,151.6692,151.6692
8,0,0,545.1667,,,,,545.1667,545.1667
9,0,0,1561.749,,,,,1561.749,1561.749
10,0,0,2204.625,,,,,2204.625,2204.625
11,0,0,1595.252,,,,,1595.252,1595.252
12,0,0,1021.335,,,,,1021.335,1021.335
13,0,0,729.4908,,,,,729.4908,729.4908
14,0,0,1070.612,,,,,1070.612,1070.612
15,0,0,876.0583,,,,,876.0583,876.0583
16,0,0,893.93,,,,,893.93,893.93
17,0,215.06,325.2708,,,,,540.3308,270.1654
18,0,56.7225,75.42077,,,,,132.1433,66.07163
19,0,1.28,1.054615,,,,,2.334615,1.167308
20,0,0.98,0.98,,,,,1.96,0.98
21,0,1.054615,0.98,,,,,2.034615,1.017308
22,0,1.060833,,,,,,1.060833,1.060833
23,0,0.98,,,,,,0.98,0.98
All,0,277.1379,11085.32,0,0,0,0
Average,0,39.59114,503.878,0,0,0,0
