Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,0,0,26.50308,26.23077,0,0,27.08,79.81385,26.60462
1,0,0,26.50833,26.37923,0,0,27.03154,79.9191,26.6397
2,0,0,26.43769,26.41846,0,0,26.78385,79.64,26.54667
3,0,0,26.40615,26.37917,0,0,26.5,79.28532,26.42844
4,0,0,26.44833,26.25538,0,0,26.3525,79.05622,26.35207
5,0,0,26.35231,26.23,0,0,26.22462,78.80692,26.26897
6,0,0,26.38692,26.0675,0,0,26.25538,78.70981,26.2366
7,0,0,26.82462,26.84538,0,0,28.72,82.39,27.46333
8,0,0,27.905,29.56385,0,0,32.86308,90.33192,30.11064
9,0,0,31.44769,29.02154,0,0,34.49385,94.96308,31.65436
10,0,0,34.98462,30.22,0,0,36.86231,102.0669,34.02231
11,0,0,34.57385,33.49615,0,0,34.05077,102.1208,34.04026
12,0,0,33.56538,34.69538,0,0,33.89385,102.1546,34.05154
13,0,0,31.05692,32.04,0,0,34.67231,97.76923,32.58974
14,0,0,31.08538,31.04417,0,0,35.09077,97.22032,32.40677
15,0,0,31.79583,30.66167,0,32.50714,33.83385,128.7985,32.19962
16,0,0,31.26615,0,0,31.28692,32.38308,94.93615,31.64538
17,0,28.42,30.22615,0,0,30.70667,31.21,120.5628,30.14071
18,0,27.6575,28.56846,0,27.46308,28.67615,29.45417,141.8194,28.36387
19,0,26.78154,27.35692,0,26.98615,27.68385,27.99615,136.8046,27.36092
20,0,26.60462,26.97833,0,26.52,27.47615,27.69,135.2691,27.05382
21,0,26.58231,26.62385,0,0,27.30167,27.60308,108.1109,27.02772
22,0,26.55417,26.34923,0,0,27.14,27.52333,107.5667,26.89168
23,0,26.40385,26.28917,0,0,27.05538,27.36385,107.1122,26.77806
All,0,189.004,691.9404,461.5487,80.96923,259.8339,721.9323
Average,0,27.00057,28.83085,28.84679,26.98974,28.87044,30.08051
