Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,88.08231,87.51167,,,,,,175.594,87.79699
1,88.53308,87.98154,,,,,,176.5146,88.25731
2,88.87833,87.39538,,,,,,176.2737,88.13686
3,89.16846,88.14923,,,,,,177.3177,88.65885
4,89.48231,88.57833,,,,,,178.0606,89.03032
5,89.75,88.87385,,,,,,178.6238,89.31192
6,90.19538,89.07846,,,,,,179.2738,89.63692
7,90.26615,88.79308,,,,,,179.0592,89.52962
8,83.69308,84.22692,,,,,,167.92,83.96
9,76.87692,,,,,,,76.87692,76.87692
10,73.26462,,,,,,,73.26462,73.26462
11,71.73154,,,,,,,71.73154,71.73154
12,72.06308,,,,,,,72.06308,72.06308
13,73.96769,,,,,,,73.96769,73.96769
14,76.08077,,,,,,,76.08077,76.08077
15,77.13167,,,,,,,77.13167,77.13167
16,78.08231,,,,,,,78.08231,78.08231
17,80.21923,,,,,,,80.21923,80.21923
18,82.2,,,,,,,82.2,82.2
19,83.98308,,,,,,,83.98308,83.98308
20,85.07167,,,,,,,85.07167,85.07167
21,86.00154,,,,,,,86.00154,86.00154
22,86.16462,,,,,,,86.16462,86.16462
23,86.77692,,,,,,,86.77692,86.77692
All,1987.665,790.5885,0,0,0,0,0
Average,82.81936,87.84316,0,0,0,0,0
