Clock,2016/10/2,2016/10/3,2016/10/4,2016/10/5,2016/10/6,2016/10/7,2016/10/8,All,Average
0,0,0,4.298582,,,,,4.298582,4.298582
1,0,0,4.212188,,,,,4.212188,4.212188
2,0,0,4.112155,,,,,4.112155,4.112155
3,0,0,4.007789,,,,,4.007789,4.007789
4,0,0,3.900476,,,,,3.900476,3.900476
5,0,0,3.826873,,,,,3.826873,3.826873
6,0,0,3.772529,,,,,3.772529,3.772529
7,0,0,3.8053,,,,,3.8053,3.8053
8,0,0,3.982294,,,,,3.982294,3.982294
9,0,0,4.17031,,,,,4.17031,4.17031
10,0,0,0,,,,,0
11,0,0,0,,,,,0
12,0,0,0,,,,,0
13,0,0,0,,,,,0
14,0,0,0,,,,,0
15,0,0,0,,,,,0
16,0,0,0,,,,,0
17,0,8.075352,0,,,,,8.075352,8.075352
18,0,6.69224,0,,,,,6.69224,6.69224
19,0,5.68082,,,,,,5.68082,5.68082
20,0,5.24861,,,,,,5.24861,5.24861
21,0,4.886983,,,,,,4.886983,4.886983
22,0,4.586802,,,,,,4.586802,4.586802
23,0,4.389927,,,,,,4.389927,4.389927
All,0,39.56073,40.0885,0,0,0,0
Average,0,5.651533,4.00885,0,0,0,0
