Clock,2016/10/2,2016/10/3,2016/10/4,2016/10/5,2016/10/6,2016/10/7,2016/10/8,All,Average
0,0,0,1002.092,0,,,,1002.092,1002.092
1,0,0,1002.297,0,,,,1002.297,1002.297
2,0,0,1001.712,,,,,1001.712,1001.712
3,0,0,1001.338,,,,,1001.338,1001.338
4,0,0,1002.623,,,,,1002.623,1002.623
5,0,0,1001.852,,,,,1001.852,1001.852
6,0,0,1002.447,,,,,1002.447,1002.447
7,0,0,1003.104,,,,,1003.104,1003.104
8,0,0,1003.882,,,,,1003.882,1003.882
9,0,0,1003.75,,,,,1003.75,1003.75
10,0,0,0,,,,,0
11,0,0,0,,,,,0
12,0,0,0,,,,,0
13,0,0,0,,,,,0
14,0,0,0,,,,,0
15,0,0,0,,,,,0
16,0,0,0,,,,,0
17,0,999.9108,0,,,,,999.9108,999.9108
18,0,1000.134,0,,,,,1000.134,1000.134
19,0,1000.996,0,,,,,1000.996,1000.996
20,0,1001.348,0,,,,,1001.348,1001.348
21,0,1001.713,0,,,,,1001.713,1001.713
22,0,1002.134,0,,,,,1002.134,1002.134
23,0,1001.823,0,,,,,1001.823,1001.823
All,0,7008.059,10025.1,0,0,0,0
Average,0,1001.151,1002.51,0,0,0,0
