Index,Date,HD
0,2016/9/8,5.266515
1,2016/9/9,3.237584
2,2016/9/10,3.484985
3,2016/9/11,3.819349
4,2016/9/12,4.038348
5,2016/9/13,3.752457
6,2016/9/14,3.588528
7,2016/9/15,5.507075
8,2016/9/16,3.8647
9,2016/9/17,0
10,2016/9/18,0
11,2016/9/19,4.007075
12,2016/9/20,5.033327
13,2016/9/21,4.883315
14,2016/9/22,4.157249
15,2016/9/23,5.943838
16,2016/9/24,6.135027
17,2016/9/25,5.716824
18,2016/9/26,5.371861
19,2016/9/27,1.883665
20,2016/9/28,4.657504
21,2016/9/29,0
22,2016/9/30,6.762827
23,2016/10/1,2.229216
24,2016/10/2,0
25,2016/10/3,5.651533
26,2016/10/4,4.018656
