Index,TE
0,2016/9/8,29.42943
1,2016/9/9,28.44283
2,2016/9/10,29.30094
3,2016/9/11,29.53116
4,2016/9/12,29.69096
5,2016/9/13,29.37522
6,2016/9/14,28.49942
7,2016/9/15,31.22472
8,2016/9/16,29.91337
9,2016/9/17,0
10,2016/9/18,0
11,2016/9/19,27.00057
12,2016/9/20,28.83085
13,2016/9/21,28.84679
14,2016/9/22,26.98974
15,2016/9/23,28.87044
16,2016/9/24,30.08051
17,2016/9/25,30.27811
18,2016/9/26,30.70362
19,2016/9/27,28.21349
20,2016/9/28,31.68476
21,2016/9/29,0
22,2016/9/30,31.56604
23,2016/10/1,26.55609
24,2016/10/2,0
25,2016/10/3,0
