Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,2.807153,0,2.807153,2.807153
1,0,0,0,0,0,2.658873,0,2.658873,2.658873
2,0,0,0,0,0,2.549798,0,2.549798,2.549798
3,0,0,0,0,0,2.455749,0,2.455749,2.455749
4,0,0,0,0,0,2.362852,0,2.362852,2.362852
5,0,0,0,0,0,2.280027,0,2.280027,2.280027
6,0,0,0,0,0,2.231536,0,2.231536,2.231536
7,0,0,0,0,0,2.738582,0,2.738582,2.738582
8,0,0,0,0,0,4.802748,0,4.802748,4.802748
9,0,0,0,0,0,6.215885,7.866959,14.08284,7.041422
10,0,0,0,0,6.849714,13.36034,10.45596,30.66602,10.22201
11,0,0,0,0,0,8.52949,10.73102,19.26051,9.630254
12,0,0,0,0,0,11.55215,14.19731,25.74947,12.87473
13,0,0,0,0,7.74721,14.65135,23.19267,45.59123,15.19708
14,0,0,0,0,8.610395,7.836206,22.07719,38.52379,12.84126
15,0,0,0,0,9.637118,5.093141,19.18394,33.9142,11.30473
16,0,0,0,0,8.411648,4.245542,12.34408,25.00127,8.333756
17,0,0,0,0,7.478744,3.723947,9.041438,20.24413,6.748043
18,0,0,0,0,6.658805,3.338057,7.402708,17.39957,5.799857
19,0,0,0,0,4.650551,3.107548,5.390602,13.1487,4.3829
20,0,0,0,0,3.821972,2.727174,4.198804,10.74795,3.58265
21,0,0,0,0,3.464932,2.540099,3.555615,9.560646,3.186882
22,0,0,0,0,3.158046,0,3.135468,6.293514,3.146757
23,0,0,0,0,2.950558,0,2.901109,5.851667,2.925834
All,0,0,0,0,73.43969,111.8083,155.6749
Average,0,0,0,0,6.119974,5.082193,10.37832
