Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,88.96333,0,88.96333,88.96333
1,0,0,0,0,0,89.54583,0,89.54583,89.54583
2,0,0,0,0,0,90.02909,0,90.02909,90.02909
3,0,0,0,0,0,90.41333,0,90.41333,90.41333
4,0,0,0,0,0,90.76917,0,90.76917,90.76917
5,0,0,0,0,0,91.07833,0,91.07833,91.07833
6,0,0,0,0,0,91.3375,0,91.3375,91.3375
7,0,0,0,0,0,90.7525,0,90.7525,90.7525
8,0,0,0,0,0,86.38667,0,86.38667,86.38667
9,0,0,0,0,0,83.43333,81.66,165.0933,82.54667
10,0,0,0,0,79.61,73.275,76.50692,229.3919,76.46397
11,0,0,0,0,0,77.1675,75.20917,152.3767,76.18833
12,0,0,0,0,0,74.27167,72.01833,146.29,73.145
13,0,0,0,0,76.66,70.43385,65.32333,212.4172,70.80573
14,0,0,0,0,75.731,75.3025,63.66,214.6935,71.5645
15,0,0,0,0,74.51167,81.53167,63.52,219.5633,73.18778
16,0,0,0,0,75.7025,84.615,68.98917,229.3067,76.43556
17,0,0,0,0,77.53583,86.46273,74.17583,238.1744,79.39146
18,0,0,0,0,79.01333,87.61917,77.3375,243.97,81.32333
19,0,0,0,0,82.87,87.9675,81.0925,251.93,83.97667
20,0,0,0,0,85.1575,89.28917,84.55167,258.9983,86.33278
21,0,0,0,0,86.43,90.09,86.71333,263.2333,87.74444
22,0,0,0,0,87.69333,0,88.13667,175.83,87.915
23,0,0,0,0,88.4375,0,89.225,177.6625,88.83125
All,0,0,0,0,969.3527,1870.735,1148.119
Average,0,0,0,0,80.77939,85.0334,76.54129
