Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,Average
0,1006.314,1007.411,,,,,,1006.862
1,1006.361,1006.961,,,,,,1006.661
2,1006.045,1007.234,,,,,,1006.64
3,1005.601,1006.591,,,,,,1006.096
4,1005.073,0,,,,,,1005.073
5,1005.115,0,,,,,,1005.115
6,1005.42,0,,,,,,1005.42
7,1006.285,0,,,,,,1006.285
8,1007.158,0,,,,,,1007.158
9,1007.71,0,,,,,,1007.71
10,1007.571,0,,,,,,1007.571
11,1007.143,0,,,,,,1007.143
12,1006.605,0,,,,,,1006.605
13,1006.238,0,,,,,,1006.238
14,1005.348,0,,,,,,1005.348
15,1005.061,0,,,,,,1005.061
16,1004.874,0,,,,,,1004.874
17,1004.821,0,,,,,,1004.821
18,1005.173,0,,,,,,1005.173
19,1005.242,0,,,,,,1005.242
20,1005.754,0,,,,,,1005.754
21,1006.202,0,,,,,,1006.202
22,1006.705,0,,,,,,1006.705
23,1007.514,0,,,,,,1007.514
All,24145.33,4028.197,0,0,0,0,0
Average,1006.056,1007.049,0,0,0,0,0
