Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,Average
0,27.79167,27.12917,,,,,,27.46042
1,27.61545,27.18667,,,,,,27.40106
2,27.1825,26.9,,,,,,27.04125
3,27.40667,26.67273,,,,,,27.0397
4,27.3525,26.46333,,,,,,26.90792
5,27.04167,26.2725,,,,,,26.65708
6,27.12818,26.1,,,,,,26.61409
7,27.2175,0,,,,,,27.2175
8,27.87,0,,,,,,27.87
9,27.35,0,,,,,,27.35
10,27.44417,35.34778,,,,,,31.39597
11,29.55727,37.28667,,,,,,33.42197
12,34.835,35.45667,,,,,,35.14583
13,39.22417,31.73583,,,,,,35.48
14,40.29083,33.6325,,,,,,36.96167
15,39.17231,34.08667,,,,,,36.62949
16,35.67167,41.41833,,,,,,38.545
17,33.705,37.65077,,,,,,35.67788
18,33.98917,0,,,,,,33.98917
19,32.81167,0,,,,,,32.81167
20,28.965,0,,,,,,28.965
21,27.87833,0,,,,,,27.87833
22,27.44909,0,,,,,,27.44909
23,27.28917,0,,,,,,27.28917
All,732.239,473.3396,0,0,0,0,0
Average,30.50996,31.55597,0,0,0,0,0
