Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,0,0,0.98,0.98,0.98,0.98,,3.92,0.98
1,0,0,0.98,0.98,0.98,0.98,,3.92,0.98
2,0,0,0.98,0.98,0.98,0.98,,3.92,0.98
3,0,0,0.98,0.98,0.98,0.98,,3.92,0.98
4,0,0,0.98,0.98,0.98,0.98,,3.92,0.98
5,0,0,0.98,0.98,0.98,0.98,,3.92,0.98
6,0,0,223.3067,200.2783,111.7727,,,535.3577,178.4526
7,0,0,1347.982,3414.415,1236.652,,,5999.049,1999.683
8,0,0,4834.715,6282.298,3762.937,,,14879.95,4959.983
9,0,0,14662.43,8322.423,8736.242,,,31721.09,10573.7
10,0,0,18858.14,8085.607,15060.05,,,42003.8,14001.27
11,0,0,3709.584,23213.1,7844.196,,,34766.88,11588.96
12,0,0,2106.282,2852.293,1964.926,,,6923.501,2307.834
13,0,0,1584.308,1603.189,3264.239,,,6451.736,2150.579
14,0,0,1798.421,1549.559,2458.659,,,5806.639,1935.546
15,0,0,1865.803,615.64,1048.014,,,3529.457,1176.486
16,0,0,1516.683,712.7283,1931.396,,,4160.807,1386.936
17,0,2093.139,1357.176,1673.176,2680.172,,,7803.663,1950.916
18,0,637.775,470.9467,307.455,171.7933,,,1587.97,396.9925
19,0,1.466667,1.224167,1.1425,0.98,,,4.813333,1.203333
20,0,0.98,0.98,0.98,0.98,,,3.92,0.98
21,0,0.98,0.98,0.98,0.98,,,3.92,0.98
22,0,0.98,0.98,0.98,0.98,,,3.92,0.98
23,0,0.98,0.98,0.98,0.98,,,3.92,0.98
All,0,2736.3,54346.8,58843.11,50281.83,5.88,0
Average,0,390.9001,2264.45,2451.796,2095.076,0.98,0
