Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,27.00667,28.00364,28.305,28.0325,0,,,111.3478,27.83695
1,26.77917,27.9525,28.21833,27.76167,0,,,110.7117,27.67792
2,26.60917,27.90917,28.04455,27.59083,0,,,110.1537,27.53843
3,26.53636,27.78417,27.94167,27.71091,0,,,109.9731,27.49328
4,26.61083,27.85167,27.615,27.785,0,,,109.8625,27.46562
5,26.60833,28.0175,27.52083,27.67083,0,,,109.8175,27.45437
6,26.59,28.1025,27.2625,27.9525,0,,,109.9075,27.47688
7,29.7225,31.43,27.3075,30.01333,0,,,118.4733,29.61833
8,35.36333,37.28083,27.55333,36.32083,0,,,136.5183,34.12958
9,50.08667,45.44,27.27091,42.06417,0,,,164.8617,41.21544
10,41.78231,42.65333,27.02583,48.77231,0,,,160.2338,40.05845
11,40.08583,35.96,27.04583,54.67077,0,,,157.7624,39.44061
12,38.99083,38.42583,27.40583,50.5625,0,,,155.385,38.84625
13,36.5325,38.75167,28.84583,48.80308,0,,,152.9331,38.23327
14,35.055,39.29833,32.86333,40.06917,0,,,147.2858,36.82146
15,34.5625,36.52667,33.0625,37.18,0,,,141.3317,35.33292
16,33.23667,34.21167,31.8325,34.52083,0,,,133.8017,33.45042
17,30.7025,32.73167,30.5025,35.49,0,,,129.4267,32.35667
18,30.46167,31.15917,28.9475,0,0,,,90.56833,30.18944
19,28.2925,29.83333,28.04583,0,0,,,86.17167,28.72389
20,27.73917,29.67333,28.00636,0,0,,,85.41886,28.47295
21,27.82167,29.00833,28.1425,0,0,,,84.9725,28.32417
22,27.94833,28.51167,28.1875,0,,,,84.6475,28.21583
23,27.87083,28.39417,28.21,0,,,,84.475,28.15833
All,762.9953,784.9111,685.1635,652.9712,0,0,0
Average,31.79147,32.70463,28.54848,36.27618,0,0,0
