Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,2.287318,0.7621707,0,0
1,0,0,0,0,0,0,0,0,2.191285,1.983406,0,0
2,0,0,0,0,0,0,0,0,2.105179,1.898548,0,0
3,0,0,0,0,0,0,0,0,1.965041,1.867064,0,0
4,0,0,0,0,0,0,0,0,1.873029,1.18083,0,0
5,0,0,0,0,0,0,0,0,1.795715,1.158021,0,0
6,0,0,0,0,0,0,0,0,1.669328,1.141765,0,0
7,0,0,0,0,0,0,0,0,2.165119,1.220158,0,0
8,0,0,0,0,0,0,0,0,4.341598,0,0,0
9,0,0,0,0,0,0,0,0,10.30959,0,0,0
10,0,0,0,0,0,0,0,0,14.11393,0,0,0
11,0,0,0,0,0,0,0,0,11.41611,0,0,0
12,0,0,0,0,0,0,0,0,10.82386,0,0,0
13,0,0,0,0,0,0,0,0,10.93447,0,0,0
14,0,0,0,0,0,0,0,0,9.413444,0,0,0
15,0,0,0,0,0,0,0,0,8.79228,0,0,0
16,0,0,0,0,0,0,0,0,7.148786,0,0,0
17,0,0,0,0,0,0,0,0,6.499417,4.19912,0,0
18,0,0,0,0,0,0,0,0,4.79846,2.869574,0,0
19,0,0,0,0,0,0,0,0,3.562477,2.34635,0,0
20,0,0,0,0,0,0,0,0,3.051314,2.141085,0,0
21,0,0,0,0,0,0,0,0,2.947694,1.977908,0,0
22,0,0,0,0,0,0,0,0,2.608893,1.847349,0,0
23,0,0,0,0,0,0,0,0,2.428549,1.779719,0,0
