Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,53.47933,0,0,0
1,0,0,0,0,0,0,0,0,71.77391,0,0,0
2,0,0,0,0,0,0,0,0,72.269,0,0,0
3,0,0,0,0,0,0,0,0,72.697,0,0,0
4,0,0,0,0,0,0,0,0,72.98433,0,0,0
5,0,0,0,0,0,0,0,0,73.2898,0,0,0
6,0,0,0,0,0,0,0,0,73.60417,0,0,0
7,0,0,0,0,0,0,0,0,55.18433,0,0,0
8,0,0,0,0,0,0,0,0,54.45267,0,0,0
9,0,0,0,0,0,0,0,0,51.41967,0,0,0
10,0,0,0,0,0,0,0,0,81.95856,0,0,0
11,0,0,0,0,0,0,0,0,78.84751,0,0,0
12,0,0,0,0,0,0,0,0,61.99317,0,0,0
13,0,0,0,0,0,0,0,0,59.86517,0,0,0
14,0,0,0,0,0,0,0,0,72.39794,0,0,0
15,0,0,0,0,0,0,0,0,72.63239,0,0,0
16,0,0,0,0,0,0,0,0,72.65633,0,0,0
17,0,0,0,0,0,0,0,0,74.75359,0,0,0
18,0,0,0,0,0,0,0,0,76.74005,0,0,0
19,0,0,0,0,0,0,0,0,78.60117,0,0,0
20,0,0,0,0,0,0,0,0,82.514,0,0,0
21,0,0,0,0,0,0,0,0,85.47133,0,0,0
22,0,0,0,0,0,0,0,0,87.25059,0,0,0
23,0,0,0,0,0,0,0,0,70.4052,0,0,0
