Time, Date, Ch1, Ch2, NAE
3558093485,2016/9/30 15:18:5,358,477,0
3558093486,2016/9/30 15:18:6,422,481,0
3558093487,2016/9/30 15:18:7,319,463,0
3558093488,2016/9/30 15:18:8,413,357,0
3558093489,2016/9/30 15:18:9,335,420,0
3558093490,2016/9/30 15:18:10,353,485,0
3558093491,2016/9/30 15:18:11,347,471,0
3558093492,2016/9/30 15:18:12,301,386,0
3558093493,2016/9/30 15:18:13,386,443,0
3558093494,2016/9/30 15:18:14,279,436,0
3558093495,2016/9/30 15:18:15,413,336,0
3558093496,2016/9/30 15:18:16,419,372,0
3558093497,2016/9/30 15:18:17,302,490,0
3558093498,2016/9/30 15:18:18,389,505,0
3558093499,2016/9/30 15:18:19,371,420,0
3558093500,2016/9/30 15:18:20,421,512,0
3558093501,2016/9/30 15:18:21,429,363,0
3558093502,2016/9/30 15:18:22,282,401,0
3558093503,2016/9/30 15:18:23,371,496,0
3558093504,2016/9/30 15:18:24,390,457,0
3558093505,2016/9/30 15:18:25,401,481,0
3558093506,2016/9/30 15:18:26,316,481,0
3558093507,2016/9/30 15:18:27,324,442,0
3558093508,2016/9/30 15:18:28,299,449,0
3558093509,2016/9/30 15:18:29,397,487,0
3558093510,2016/9/30 15:18:30,376,507,0
3558093511,2016/9/30 15:18:31,303,471,0
3558093512,2016/9/30 15:18:32,346,493,0
3558093513,2016/9/30 15:18:33,404,491,0
3558093514,2016/9/30 15:18:34,401,476,0
3558093515,2016/9/30 15:18:35,379,448,0
3558093516,2016/9/30 15:18:36,336,485,0
3558093517,2016/9/30 15:18:37,383,537,0
3558093518,2016/9/30 15:18:38,310,539,0
3558093519,2016/9/30 15:18:39,278,430,0
3558093520,2016/9/30 15:18:40,368,529,0
3558093521,2016/9/30 15:18:41,392,464,0
3558093522,2016/9/30 15:18:42,325,447,0
3558093523,2016/9/30 15:18:43,427,366,0
3558093524,2016/9/30 15:18:44,388,328,0
3558093525,2016/9/30 15:18:45,409,467,0
3558093526,2016/9/30 15:18:46,400,474,0
3558093527,2016/9/30 15:18:47,341,474,0
3558093528,2016/9/30 15:18:48,382,459,0
3558093529,2016/9/30 15:18:49,352,433,0
3558093530,2016/9/30 15:18:50,360,446,0
3558093531,2016/9/30 15:18:51,345,470,0
3558093532,2016/9/30 15:18:52,426,518,0
