Time, Date, Ch1, Ch2, NAE
3556225217,2016/9/9 0:20:17,255,24,0
3556226115,2016/9/9 0:35:15,249,24,0
3556227316,2016/9/9 0:55:16,257,23,0
3556227612,2016/9/9 1:0:12,262,23,0
3556228518,2016/9/9 1:15:18,158,23,0
3556228806,2016/9/9 1:20:6,218,22,0
3556229105,2016/9/9 1:25:5,228,22,0
3556229118,2016/9/9 1:25:18,167,19,0
3556229716,2016/9/9 1:35:16,259,23,0
3556229717,2016/9/9 1:35:17,258,24,0
3556229718,2016/9/9 1:35:18,162,21,0
3556230013,2016/9/9 1:40:13,264,24,0
3556230905,2016/9/9 1:55:5,182,23,0
3556230918,2016/9/9 1:55:18,160,21,0
3556231218,2016/9/9 2:0:18,155,21,0
3556231512,2016/9/9 2:5:12,261,24,0
3556231513,2016/9/9 2:5:13,134,20,0
3556231805,2016/9/9 2:10:5,240,25,0
3556232705,2016/9/9 2:25:5,236,21,0
3556233005,2016/9/9 2:30:5,245,21,0
3556233015,2016/9/9 2:30:15,260,25,0
3556233612,2016/9/9 2:40:12,278,24,0
3556234218,2016/9/9 2:50:18,163,25,0
3556235112,2016/9/9 3:5:12,183,22,0
3556235120,2016/9/9 3:5:20,213,23,0
3556235123,2016/9/9 3:5:23,265,25,0
3556235412,2016/9/9 3:10:12,267,25,0
3556235705,2016/9/9 3:15:5,319,21,0
3556235715,2016/9/9 3:15:15,171,22,0
3556236604,2016/9/9 3:30:4,290,24,0
3556236612,2016/9/9 3:30:12,133,23,0
3556236905,2016/9/9 3:35:5,220,24,0
3556237212,2016/9/9 3:40:12,295,25,0
3556237514,2016/9/9 3:45:14,258,25,0
3556237817,2016/9/9 3:50:17,257,25,0
3556237819,2016/9/9 3:50:19,170,23,0
3556238404,2016/9/9 4:0:4,101,23,0
3556238417,2016/9/9 4:0:17,156,22,0
3556239612,2016/9/9 4:20:12,317,23,0
3556239614,2016/9/9 4:20:14,166,21,0
3556239906,2016/9/9 4:25:6,368,23,0
3556240204,2016/9/9 4:30:4,195,24,0
3556240217,2016/9/9 4:30:17,115,22,0
3556240518,2016/9/9 4:35:18,164,22,0
3556240804,2016/9/9 4:40:4,233,23,0
3556241115,2016/9/9 4:45:15,288,23,0
3556241415,2016/9/9 4:50:15,168,20,0
3556241713,2016/9/9 4:55:13,261,24,0
3556242011,2016/9/9 5:0:11,283,25,0
3556243216,2016/9/9 5:20:16,276,24,0
3556243217,2016/9/9 5:20:17,145,20,0
3556243514,2016/9/9 5:25:14,170,20,0
3556243813,2016/9/9 5:30:13,356,24,0
3556243814,2016/9/9 5:30:14,372,24,0
3556244407,2016/9/9 5:40:7,129,20,0
3556244412,2016/9/9 5:40:12,342,23,0
3556244414,2016/9/9 5:40:14,170,25,0
3556244704,2016/9/9 5:45:4,142,21,0
3556245004,2016/9/9 5:50:4,148,25,0
3556245913,2016/9/9 6:5:13,163,23,0
3556246217,2016/9/9 6:10:17,164,22,0
3556246515,2016/9/9 6:15:15,290,24,0
3556246804,2016/9/9 6:20:4,293,23,0
3556246816,2016/9/9 6:20:16,368,24,0
3556247703,2016/9/9 6:35:3,209,24,0
3556248313,2016/9/9 6:45:13,113,21,0
3556248617,2016/9/9 6:50:17,167,23,0
3556248903,2016/9/9 6:55:3,204,24,0
3556248913,2016/9/9 6:55:13,169,23,0
3556249203,2016/9/9 7:0:3,300,24,0
3556250114,2016/9/9 7:15:14,265,24,0
3556250115,2016/9/9 7:15:15,134,22,0
3556250117,2016/9/9 7:15:17,168,23,0
3556250712,2016/9/9 7:25:12,367,23,0
3556251603,2016/9/9 7:40:3,141,22,0
3556251615,2016/9/9 7:40:15,253,25,0
3556252512,2016/9/9 7:55:12,243,25,0
3556253103,2016/9/9 8:5:3,146,20,0
3556253413,2016/9/9 8:10:13,233,24,0
3556253703,2016/9/9 8:15:3,143,22,0
3556253713,2016/9/9 8:15:13,156,20,0
3556254003,2016/9/9 8:20:3,175,22,0
3556255211,2016/9/9 8:40:11,243,22,0
3556255514,2016/9/9 8:45:14,245,24,0
3556255814,2016/9/9 8:50:14,238,25,0
3556256103,2016/9/9 8:55:3,214,19,0
3556256110,2016/9/9 8:55:10,286,25,0
3556256715,2016/9/9 9:5:15,275,24,0
3556256716,2016/9/9 9:5:16,178,22,0
3556258892,2016/9/9 9:41:32,19,435,0
3556258895,2016/9/9 9:41:35,227,22,0
3556260634,2016/9/9 10:10:34,231,23,0
3556261534,2016/9/9 10:25:34,198,24,0
3556261834,2016/9/9 10:30:34,117,19,0
3556263034,2016/9/9 10:50:34,168,23,0
3556263634,2016/9/9 11:0:34,138,24,0
3556266462,2016/9/9 11:47:42,20,170,0
3556267666,2016/9/9 12:7:46,24,301,0
3556268570,2016/9/9 12:22:50,23,253,0
3556269169,2016/9/9 12:32:49,25,245,0
3556269763,2016/9/9 12:42:43,24,202,0
3556270368,2016/9/9 12:52:48,23,244,0
3556275093,2016/9/9 14:11:33,187,25,0
3556275101,2016/9/9 14:11:41,186,19,0
3556275393,2016/9/9 14:16:33,217,21,0
3556275694,2016/9/9 14:21:34,193,23,0
3556276001,2016/9/9 14:26:41,153,24,0
3556276601,2016/9/9 14:36:41,193,22,0
3556278393,2016/9/9 15:6:33,158,23,0
3556279006,2016/9/9 15:16:46,150,23,0
3556279893,2016/9/9 15:31:33,142,22,0
3556280202,2016/9/9 15:36:42,199,25,0
3556280802,2016/9/9 15:46:42,156,25,0
3556281393,2016/9/9 15:56:33,228,25,0
3556282000,2016/9/9 16:6:40,165,22,0
3556283500,2016/9/9 16:31:40,150,23,0
3556285300,2016/9/9 17:1:40,163,22,0
