Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,38,0,38,38
1,0,0,0,0,0,50,0,50,50
2,0,0,0,0,0,49,0,49,49
3,0,0,0,0,0,54,0,54,54
4,0,0,0,0,0,46,0,46,46
5,0,0,0,0,0,47,0,47,47
6,0,0,0,0,0,56,0,56,56
7,0,0,0,0,0,44,0,44,44
8,0,0,0,0,0,42,0,42,42
9,0,0,0,0,0,20,0,20,20
10,0,0,0,0,0,5,0,5,5
11,0,0,0,0,13,25,0,38,19
12,0,0,0,0,0,98,0,98,98
13,0,0,0,0,6,15,0,21,10.5
14,0,0,0,0,20,12,0,32,16
15,0,0,0,0,35,10,0,45,22.5
16,0,0,0,0,50,13,0,63,31.5
17,0,0,0,0,45,14,0,59,29.5
18,0,0,0,0,43,5,0,48,24
19,0,0,0,0,45,6,0,51,25.5
20,0,0,0,0,46,1,0,47,23.5
21,0,0,0,0,44,0,0,44,44
22,0,0,0,0,45,0,0,45,45
23,0,0,0,0,47,0,0,47,47
All,0,0,0,0,439,650,0
Average,0,0,0,0,36.58333,30.95238,0
